SMALL_AREA,Clusters
47002005,1
047187002/047187003,2
47187006,1
47187001,5
47165001,1
047160004/047160006,1
47296002,1
47315003,1
47296001,1
47315002,1
47046002,1
47046001,1
47043002,1
47285001,1
47009001,1
47314001,2
47217001,1
47062001,2
47272002,1
47097002,1
47114001,1
47136005,1
047136008/01,5
47262001,1
47191001,1
47058001,1
47183002,2
47226001,1
47067001,1
47244005,2
47028005,2
47262002,1
47250001,1
47193001,1
47153002,1
47153001,1
47224001,1
47053001,2
47075003,2
47075001,1
47203001,1
47162001,1
47121001,1
47228001,1
47130002,1
47130001,2
47118001,1
047055003/047055004,1
47252002,1
47029001,1
47109001,2
47179001,2
47170001,1
47131001,1
47047001,2
47113002,1
47049001,1
47048001,1
47167002,1
47092001,1
47176002,1
47127001,1
47066001,1
47074002,1
47074001,1
47301001,1
47051001,1
47264001,1
47301002,1
47172001,1
47176001,1
47242003,1
47242001,2
47249001,1
47006001,1
47010001,1
47103001,1
047205001/047205003,1
47103003,1
47322003,2
47195002,1
47278002,1
47158002,2
47218007,2
47218006,1
47237001,1
47227001,1
47227004,1
47122001,1
47227002,1
47080001,1
47128002,1
47258002,1
47258001,1
47307001,1
47020001,1
47258020,2
47166001,1
47219001,1
47099001,1
47098001,1
47225001,1
47044001,1
47161002,1
47161001,1
47043001,1
47196001,1
47299001,1
47012002,1
47196003,1
47268003,1
47150002,1
47115002,1
47064022,2
047106026/047106029,2
47175002,1
47175001,1
47064011,2
47077013,1
47240002,1
47195001,1
47240001,1
47302001,1
47190001,1
47308001,1
47143001,1
47259001,1
47143002,1
47202004,1
47102001,1
47038001,1
47303001,2
47318005,1
47278001,3
47168002,1
47168001,1
47084001,2
47039001,1
47202002,2
47124001,1
47010002,1
47038003,1
47038002,1
47192001,1
47205005,1
47103004,1
047103002/047103005,2
047115001/047115003,1
47072039,2
47072038,4
47132010,2
47115009,4
47284003,1
47132045,2
47064002,5
47106025,2
47106014,2
47064024,2
047077001/02,2
47077012,2
47077004,2
47077003,2
47253001,2
47253013,2
47159002,1
47201001,1
47079001,1
47158001,1
47128001,1
47216002,1
47216001,2
47248001,1
47198001,1
47258017,1
47258016,2
47313005,5
047200005/047200011,1
47295005,5
47148005,5
47294006,2
47294005,5
47148004,2
47117004,5
47117002,3
47033017,5
47145004,5
47146005,1
47146004,5
47145003,6
47325009,7
47032004,3
047239015/02,4
47239011,3
47245005,3
47060006,2
47260003,5
47090016,5
47170002,2
47217004,1
47140009,2
47246004,7
47324004,4
47324014,4
47245012,3
47206001,5
47260004,2
47060008,6
47268002,1
47090001,3
47090011,7
47012001,2
47129006,1
48061005,5
48048006,5
48064007,2
47090017,5
47196002,3
47072023,3
47183004,4
47270003,2
47028003,3
47250006,4
47054014,4
48007006,6
47072036,5
47072029,5
48059002,5
48059001,5
47277020,6
47277025,4
47277026,5
48008005,4
48031003,5
48006003,5
47016051,3
47016061,3
48010004,5
47178017,3
47072008,4
47072006,3
47072001,2
47235016,3
047235026/01,7
48041002,5
48064006,5
48051006,5
47298016,6
48061007,6
48062010,6
48041005,5
47324007,5
47246011,5
47246010,6
47324009,3
47324010,3
47324024,3
47178018,3
47324012,3
47324020,5
47016032,4
47016035,6
047235024/02,3
47178009,3
48064009,5
47298012,4
47298008,4
47277005,3
47246005,4
47246001,5
47246008,6
48061004,5
